Pattern,Meaning,Level,Usage,ExampleJapanese,ExampleVietnamese,CorrectCount,WrongCount,IsDifficult
上げる,Làm...xong,N3,"Cấu trúc: Vます + 上げる.
Cách dùng: Dùng để diễn tả: làm…xong.",彼は一晩でレポートを書き上げました。,Anh ấy đã viết xong bản báo cáo trong một đêm.,0,0,False
合う,Làm điều gì đó cùng nhau...,N3,"Cấu trúc: Vます + 合う.
Cách dùng: Dùng để diễn tả: làm điều gì đó cùng nhau….",困った時は友達と助け合います。,"Khi gặp khó khăn, tôi giúp đỡ lẫn nhau với bạn bè.",0,0,False
ばよかった,Giá mà...thì tốt rồi,N3,"Cấu trúc: Vば + よかった.
Cách dùng: Dùng để diễn tả: giá mà…thì tốt rồi.",もっと早く先生に相談すればよかった。,Giá mà tôi hỏi ý kiến giáo viên sớm hơn.,0,0,False
ば～ほど,Càng...càng,N3,"Cấu trúc: Vば + Vるほど / Aいければ + Aいほど.
Cách dùng: Dùng để diễn tả: càng…càng.",日本語は勉強すればするほど面白くなります。,Tiếng Nhật càng học càng trở nên thú vị.,0,0,False
ば～のに,Thế mà/giá mà,N3,"Cấu trúc: Vば + のに.
Cách dùng: Dùng để diễn tả: thế mà/giá mà.",もっと時間があれば、旅行に行けたのに。,Giá mà có thêm thời gian thì đã có thể đi du lịch rồi.,0,0,False
ばかり,Toàn.../chỉ.../lúc nào cũng,N3,"Cấu trúc: N / Vて + ばかり.
Cách dùng: Dùng để diễn tả: toàn…/chỉ…/lúc nào cũng.",彼はゲームばかりしています。,Anh ấy suốt ngày chỉ chơi game.,0,0,False
ばかりか～も,Không chỉ có...mà còn,N3,"Cấu trúc: thể thông thường + ばかりか、...も.
Cách dùng: Dùng để diễn tả: không chỉ có…mà còn.",彼は英語ばかりか、日本語も話せます。,Anh ấy không chỉ nói được tiếng Anh mà còn nói được tiếng Nhật.,0,0,False
べきだ,Phải/nên làm gì,N3,"Cấu trúc: Vる + べきだ.
Cách dùng: Dùng để diễn tả: phải/nên làm gì.",約束は守るべきです。,Lời hứa thì nên giữ.,0,0,False
別に～ない,không thực sự/ không hẳn....,N3,"Cấu trúc: 別に + thể phủ định.
Cách dùng: Dùng để diễn tả: không thực sự/ không hẳn…..",別に怒っていません。,Tôi không hẳn là đang giận đâu.,0,0,False
ぶりに,sau (mới lại)...,N3,"Cấu trúc: khoảng thời gian + ぶりに.
Cách dùng: Dùng để diễn tả: sau (mới lại)….",三年ぶりに友達に会いました。,Tôi đã gặp lại bạn sau ba năm.,0,0,False
ちゃった,Làm gì đó mất rồi,N3,"Cấu trúc: Vてしまったのdạng nói chuyện.
Cách dùng: Dùng để diễn tả: làm gì đó mất rồi.",大事な書類を忘れちゃった。,Tôi lỡ quên mất tài liệu quan trọng rồi.,0,0,False
だけ,đến mức tối đa có thể.../ được chừng nào hay chừng đó...,N3,"Cấu trúc: Vる / N + だけ.
Cách dùng: Dùng để diễn tả: đến mức tối đa có thể…/ được chừng nào hay chừng đó….",食べたいだけ食べてください。,Hãy ăn chừng nào bạn muốn.,0,0,False
だけでなく,không chỉ...mà còn/ không những...mà còn...,N3,"Cấu trúc: N / thể thông thường + だけでなく、...も.
Cách dùng: Dùng để diễn tả: không chỉ…mà còn/ không những…mà còn….",彼女は歌だけでなく、ダンスも上手です。,Cô ấy không chỉ hát hay mà còn nhảy giỏi.,0,0,False
だけしか,Chỉ ... mà thôi,N3,"Cấu trúc: N + だけしか + thể phủ định.
Cách dùng: Dùng để diễn tả: chỉ … mà thôi.",財布には千円だけしかありません。,Trong ví chỉ có đúng 1000 yên thôi.,0,0,False
だけど,Nhưng mà,N3,"Cấu trúc: câu + だけど.
Cách dùng: Dùng để diễn tả: nhưng mà.",行きたいだけど、時間がありません。,Tôi muốn đi nhưng không có thời gian.,0,0,False
ですから,Vì vậy,N3,"Cấu trúc: câu + ですから.
Cách dùng: Dùng để diễn tả: vì vậy.",今日は雨です。ですから、家にいます。,Hôm nay trời mưa. Vì vậy tôi ở nhà.,0,0,False
どんなに～ても,Cho dù có như thế nào/cho dù là bao nhiêu đi nữa,N3,"Cấu trúc: どんなに + Vても / Aいても.
Cách dùng: Dùng để diễn tả: cho dù có như thế nào/cho dù là bao nhiêu đi nữa.",どんなに忙しくても、毎日日本語を勉強します。,"Dù bận thế nào, tôi vẫn học tiếng Nhật mỗi ngày.",0,0,False
どうしても,"bằng bất cứ giá nào, dù thế nào đi chăng nữa",N3,"Cấu trúc: どうしても + Vたい / thể phủ định.
Cách dùng: Dùng để diễn tả: bằng bất cứ giá nào, dù thế nào đi chăng nữa.",どうしても日本へ行きたいです。,Dù thế nào tôi cũng muốn đi Nhật.,0,0,False
ふりをする,Giả vờ làm gì/Tỏ ra như thể là...,N3,"Cấu trúc: thể thông thường + ふりをする.
Cách dùng: Dùng để diễn tả: giả vờ làm gì/Tỏ ra như thể là….",彼は知らないふりをしました。,Anh ấy giả vờ không biết.,0,0,False
ふと,Đột nhiên/bất ngờ/chợt,N3,"Cấu trúc: ふと + V.
Cách dùng: Dùng để diễn tả: đột nhiên/bất ngờ/chợt.",ふと昔の友達を思い出しました。,Tôi chợt nhớ đến người bạn cũ.,0,0,False
がる,Ý muốn(của người khác),N3,"Cấu trúc: Aい語幹 / 欲しい→欲しがる.
Cách dùng: Dùng để diễn tả: ý muốn(của người khác).",子どもが新しいおもちゃを欲しがっています。,Đứa trẻ đang muốn có món đồ chơi mới.,0,0,False
ごらん,Hãy làm/thử xem...,N3,"Cấu trúc: Vて + ごらん.
Cách dùng: Dùng để diễn tả: hãy làm/thử xem….",分からなかったら、もう一度読んでごらん。,Nếu không hiểu thì thử đọc lại một lần nữa xem.,0,0,False
ごとに,mỗi/cứ mỗi/cứ...lại...,N3,"Cấu trúc: N / Vる + ごとに.
Cách dùng: Dùng để diễn tả: mỗi/cứ mỗi/cứ…lại….",会うごとに彼の日本語は上手になります。,"Mỗi lần gặp, tiếng Nhật của anh ấy lại giỏi hơn.",0,0,False
はずだ,Chắc chắn là…,N3,"Cấu trúc: thể thông thường + はずだ.
Cách dùng: Dùng để diễn tả: chắc chắn là….",彼は毎日勉強しているから、合格するはずです。,Anh ấy học mỗi ngày nên chắc chắn sẽ đậu.,0,0,False
ほど,Thường...(hơn),N3,"Cấu trúc: thể thông thường + ほど.
Cách dùng: Dùng để diễn tả: thường…(hơn).",今日は歩けないほど疲れました。,Hôm nay tôi mệt đến mức không thể đi bộ.,0,0,False
ほど～ない,Không bằng như.../không tới mức như...,N3,"Cấu trúc: N / thể thông thường + ほど...ない.
Cách dùng: Dùng để diễn tả: không bằng như…/không tới mức như….",この町は東京ほどにぎやかではありません。,Thành phố này không nhộn nhịp bằng Tokyo.,0,0,False
一度に,Cùng một lúc/tất cả trong một...,N3,"Cấu trúc: 一度に + số lượng / 動作.
Cách dùng: Dùng để diễn tả: cùng một lúc/tất cả trong một….",一度にたくさんの単語を覚えるのは大変です。,Học nhiều từ vựng cùng một lúc rất vất vả.,0,0,False
いくら～ても,bất kể thế nào/dù thế nào đi chăng nữa...,N3,"Cấu trúc: いくら + Vても / Aいても.
Cách dùng: Dùng để diễn tả: bất kể thế nào/dù thế nào đi chăng nữa….",いくら説明しても、彼は分かってくれません。,"Dù tôi giải thích bao nhiêu, anh ấy cũng không hiểu cho tôi.",0,0,False
一体,Rốt cuộc/ không biết là/ vậy thì,N3,"Cấu trúc: từ nghi vấnと一緒に使い、驚きや強い疑問を表す.
Cách dùng: Dùng để diễn tả: rốt cuộc/ không biết là/ vậy thì.",一体何が起こったのですか。,Rốt cuộc đã xảy ra chuyện gì vậy?,0,0,False
か何か,Hay gì đó,N3,"Cấu trúc: N + か何か.
Cách dùng: Dùng để diễn tả: hay gì đó.",コーヒーか何か飲みませんか。,Bạn uống cà phê hay gì đó không?,0,0,False
かける,Chưa xong/dở dang,N3,"Cấu trúc: Vます + かける.
Cách dùng: Dùng để diễn tả: chưa xong/dở dang.",読みかけの本を机に置きました。,Tôi đặt cuốn sách đang đọc dở lên bàn.,0,0,False
かなあ,Hay sao/mong sao/có...không đây,N3,"Cấu trúc: thể thông thường + かなあ.
Cách dùng: Dùng để diễn tả: hay sao/mong sao/có…không đây.",明日は晴れるかなあ。,Không biết ngày mai trời có nắng không nhỉ.,0,0,False
必ずしも～とは限らない,Không nhất thiết là...,N3,"Cấu trúc: 必ずしも + câu + とは限らない.
Cách dùng: Dùng để diễn tả: không nhất thiết là….",高い物が必ずしも良いとは限りません。,Đồ đắt không nhất thiết lúc nào cũng tốt.,0,0,False
から～にかけて,Từ...đến,N3,"Cấu trúc: N + から + N + にかけて.
Cách dùng: Dùng để diễn tả: từ…đến.",関東から東北にかけて雪が降るでしょう。,Tuyết có lẽ sẽ rơi từ vùng Kanto đến Tohoku.,0,0,False
代わりに,Thay vì/đổi lại/thay cho,N3,"Cấu trúc: Nの / Vる + 代わりに.
Cách dùng: Dùng để diễn tả: thay vì/đổi lại/thay cho.",今日は母の代わりに私が料理をします。,Hôm nay tôi sẽ nấu ăn thay mẹ.,0,0,False
結局,Sau tất cả/ cuối cùng,N3,"Cấu trúc: 結局 + câu.
Cách dùng: Dùng để diễn tả: sau tất cả/ cuối cùng.",いろいろ考えましたが、結局行くことにしました。,"Tôi đã suy nghĩ nhiều, cuối cùng quyết định đi.",0,0,False
決して～ない,Nhất định không/tuyệt đối không,N3,"Cấu trúc: 決して + thể phủ định.
Cách dùng: Dùng để diễn tả: nhất định không/tuyệt đối không.",この秘密は決して誰にも言いません。,Bí mật này tôi tuyệt đối không nói với ai.,0,0,False
きり,Chỉ có/có,N3,"Cấu trúc: N / Vた + きり.
Cách dùng: Dùng để diễn tả: chỉ có/có.",彼とは去年会ったきりです。,Tôi gặp anh ấy từ năm ngoái rồi sau đó không gặp nữa.,0,0,False
切る / 切れる / 切れない,Hết/không hết,N3,"Cấu trúc: Vます + 切る / 切れる / 切れない.
Cách dùng: Dùng để diễn tả: hết/không hết.",こんなに多い料理は一人では食べ切れません。,Nhiều món ăn thế này một mình tôi không thể ăn hết.,0,0,False
っけ,Có phải...đúng không/có phải là,N3,"Cấu trúc: thể thông thường + っけ.
Cách dùng: Dùng để diễn tả: có phải…đúng không/có phải là.",明日の集合時間は何時だっけ。,Giờ tập trung ngày mai là mấy giờ nhỉ?,0,0,False
込む,(Nhét) vào/ (chất) lên,N3,"Cấu trúc: Vます + 込む.
Cách dùng: Dùng để diễn tả: (Nhét) vào/ (chất) lên.",彼は資料をかばんに詰め込みました。,Anh ấy nhét tài liệu vào cặp.,0,0,False
こそ,Chính là.../nhất định là,N3,"Cấu trúc: N + こそ.
Cách dùng: Dùng để diễn tả: chính là…/nhất định là.",今年こそJLPTに合格したいです。,Chính năm nay tôi muốn đậu JLPT.,0,0,False
こと,Về việc,N3,"Cấu trúc: thể thông thường + こと.
Cách dùng: Dùng để diễn tả: về việc.",毎日勉強することは大切です。,Việc học mỗi ngày là quan trọng.,0,0,False
ことだ,Nên/không nên,N3,"Cấu trúc: Vる / Vない + ことだ.
Cách dùng: Dùng để diễn tả: nên/không nên.",上手になりたければ、毎日練習することです。,Nếu muốn giỏi lên thì nên luyện tập mỗi ngày.,0,0,False
ことになる,Sẽ/được quy định là,N3,"Cấu trúc: Vる / Vない + ことになる.
Cách dùng: Dùng để diễn tả: sẽ/được quy định là.",来月から大阪へ転勤することになりました。,Từ tháng sau tôi được quyết định chuyển công tác đến Osaka.,0,0,False
ことにする,Cố gắng/quyết định(làm gì),N3,"Cấu trúc: Vる / Vない + ことにする.
Cách dùng: Dùng để diễn tả: cố gắng/quyết định(làm gì).",健康のために毎朝走ることにしました。,Tôi đã quyết định chạy bộ mỗi sáng vì sức khỏe.,0,0,False
ことはない,Không cần phải,N3,"Cấu trúc: Vる + ことはない.
Cách dùng: Dùng để diễn tả: không cần phải.",そんなに心配することはありません。,Bạn không cần lo lắng đến thế đâu.,0,0,False
ことは～が,Thì...nhưng mà,N3,"Cấu trúc: thể thông thường + ことは + 同じ語 + が.
Cách dùng: Dùng để diễn tả: thì…nhưng mà.",読めることは読めますが、意味は分かりません。,"Đọc thì có đọc được, nhưng tôi không hiểu nghĩa.",0,0,False
くらい,Đến cỡ/đến mức/cỡ,N3,"Cấu trúc: N / thể thông thường + くらい.
Cách dùng: Dùng để diễn tả: đến cỡ/đến mức/cỡ.",泣きたいくらい悔しかったです。,Tôi tiếc đến mức muốn khóc.,0,0,False
くらい～はない,Cỡ như...thì không,N3,"Cấu trúc: N + くらい...はない.
Cách dùng: Dùng để diễn tả: cỡ như…thì không.",家族くらい大切なものはありません。,Không có gì quan trọng bằng gia đình.,0,0,False
くれと,Được nói/bị nói/bị nhắc nhở,N3,"Cấu trúc: Vてくれ + と.
Cách dùng: Dùng để diễn tả: được nói/bị nói/bị nhắc nhở.",母に早く帰ってくれと言われました。,Tôi bị mẹ bảo hãy về sớm.,0,0,False
くせに,Dù.../mà.../lại còn,N3,"Cấu trúc: thể thông thường + くせに.
Cách dùng: Dùng để diễn tả: dù…/mà…/lại còn.",彼は何も知らないくせに、偉そうに話します。,Anh ấy chẳng biết gì mà lại nói như vẻ ta đây.,0,0,False
まで,Cho đến khi,N3,"Cấu trúc: N / Vる + まで.
Cách dùng: Dùng để diễn tả: cho đến khi.",終わるまでここで待ちます。,Tôi sẽ đợi ở đây cho đến khi xong.,0,0,False
まま,Cứ để nguyên/giữ nguyên,N3,"Cấu trúc: Vた / Vない / Nの + まま.
Cách dùng: Dùng để diễn tả: cứ để nguyên/giữ nguyên.",電気をつけたまま寝てしまいました。,Tôi đã ngủ quên trong lúc vẫn bật đèn.,0,0,False
まるで～よう,Cứ như là/giống như là,N3,"Cấu trúc: まるで + Nのようだ / thể thông thườngようだ.
Cách dùng: Dùng để diễn tả: cứ như là/giống như là.",彼の話はまるで映画のようです。,Câu chuyện của anh ấy cứ như phim vậy.,0,0,False
まさか,Không thể nào/ lẽ nào/ làm gì có chuyện,N3,"Cấu trúc: まさか + câu.
Cách dùng: Dùng để diễn tả: không thể nào/ lẽ nào/ làm gì có chuyện.",まさか彼が辞めるとは思いませんでした。,Tôi không ngờ là anh ấy lại nghỉ việc.,0,0,False
ますように,Mong sao,N3,"Cấu trúc: Vます + ように.
Cách dùng: Dùng để diễn tả: mong sao.",試験に合格できますように。,Mong là tôi có thể đậu kỳ thi.,0,0,False
まったく～ない,Hoàn toàn không,N3,"Cấu trúc: まったく + thể phủ định.
Cách dùng: Dùng để diễn tả: hoàn toàn không.",彼の説明はまったく分かりません。,Tôi hoàn toàn không hiểu lời giải thích của anh ấy.,0,0,False
めったにない,Hiếm khi,N3,"Cấu trúc: めったに + thể phủ định.
Cách dùng: Dùng để diễn tả: hiếm khi.",こんなチャンスはめったにありません。,Cơ hội như thế này hiếm khi có.,0,0,False
み,Điểm/sự(danh từ),N3,"Cấu trúc: Aい語幹 + み.
Cách dùng: Dùng để diễn tả: điểm/sự(danh từ).",この料理には甘みがあります。,Món ăn này có vị ngọt.,0,0,False
みたい,Giống như là.../có vẻ như là.../giống như,N3,"Cấu trúc: N / thể thông thường + みたい.
Cách dùng: Dùng để diễn tả: giống như là…/có vẻ như là…/giống như.",今日は春みたいに暖かいです。,Hôm nay ấm như mùa xuân.,0,0,False
ものだ,Đã thường làm gì,N3,"Cấu trúc: thể thông thường + ものだ.
Cách dùng: Dùng để diễn tả: đã thường làm gì.",子どもの頃はよく川で遊んだものです。,Hồi nhỏ tôi thường chơi ở sông.,0,0,False
もし～たなら,Giả sử là...thì,N3,"Cấu trúc: もし + Vたなら.
Cách dùng: Dùng để diễn tả: giả sử là…thì.",もし時間があったなら、京都へ行きたいです。,Nếu có thời gian thì tôi muốn đi Kyoto.,0,0,False
もし～としても,Giả sử là...thì cũng,N3,"Cấu trúc: もし + thể thông thường + としても.
Cách dùng: Dùng để diễn tả: giả sử là…thì cũng.",もし失敗したとしても、もう一度挑戦します。,"Dù giả sử thất bại, tôi vẫn sẽ thử lại lần nữa.",0,0,False
もしかすると～かもしれない,Có lẽ là/có khả năng là,N3,"Cấu trúc: もしかすると + thể thông thường + かもしれない.
Cách dùng: Dùng để diễn tả: có lẽ là/có khả năng là.",もしかすると電車が遅れるかもしれません。,Có lẽ tàu sẽ bị trễ.,0,0,False
もしも～なら,Giả sử/nếu...thì/thì cũng,N3,"Cấu trúc: もしも + thể thông thường + なら.
Cách dùng: Dùng để diễn tả: giả sử/nếu…thì/thì cũng.",もしも宝くじが当たったなら、家を買います。,Nếu trúng xổ số thì tôi sẽ mua nhà.,0,0,False
むしろ,Hơn là/ thà là...còn hơn,N3,"Cấu trúc: むしろ + câu.
Cách dùng: Dùng để diễn tả: hơn là/ thà là…còn hơn.",彼は怒っているというより、むしろ悲しそうです。,"Anh ấy không hẳn tức giận, mà đúng hơn là có vẻ buồn.",0,0,False
んだもん,Thì là vì,N3,"Cấu trúc: thể thông thường + んだもん.
Cách dùng: Dùng để diễn tả: thì là vì.",行きたくないんだもん。,Vì tôi không muốn đi mà.,0,0,False
んだって,Nghe nói là,N3,"Cấu trúc: thể thông thường + んだって.
Cách dùng: Dùng để diễn tả: nghe nói là.",彼、来月結婚するんだって。,Nghe nói anh ấy tháng sau sẽ kết hôn.,0,0,False
ないと,Phải/bắt buộc.,N3,"Cấu trúc: Vない + と.
Cách dùng: Dùng để diễn tả: phải/bắt buộc..",早く寝ないと、明日起きられません。,Nếu không ngủ sớm thì mai sẽ không dậy được.,0,0,False
ないことはない,Không phải là không,N3,"Cấu trúc: Vないことはない / Aいくないことはない.
Cách dùng: Dùng để diễn tả: không phải là không.",行けないことはないですが、少し遠いです。,"Không phải là không đi được, nhưng hơi xa.",0,0,False
なかなか,Rất/ khá/ mãi mà/ khó mà,N3,"Cấu trúc: なかなか + 肯定 / 否定.
Cách dùng: Dùng để diễn tả: rất/ khá/ mãi mà/ khó mà.",この問題はなかなか難しいです。,Câu hỏi này khá khó.,0,0,False
なんか,Mấy thứ như/mấy chuyện như,N3,"Cấu trúc: N + なんか.
Cách dùng: Dùng để diễn tả: mấy thứ như/mấy chuyện như.",私なんかまだまだです。,Người như tôi thì vẫn còn kém lắm.,0,0,False
なと,Bị nói/bị nhắc nhở...là hãy làm gì đó,N3,"Cấu trúc: Vるな / Vなさい + と.
Cách dùng: Dùng để diễn tả: bị nói/bị nhắc nhở…là hãy làm gì đó.",先生に遅れるなと言われました。,Tôi bị giáo viên bảo là đừng đến muộn.,0,0,False
なぜなら,Bởi vì,N3,"Cấu trúc: なぜなら + 理由.
Cách dùng: Dùng để diễn tả: bởi vì.",今日は行けません。なぜなら、仕事があるからです。,Hôm nay tôi không thể đi. Bởi vì tôi có việc.,0,0,False
に関して,Về/Liên quan đến,N3,"Cấu trúc: N + に関して.
Cách dùng: Dùng để diễn tả: về/Liên quan đến.",試験に関して質問があります。,Tôi có câu hỏi liên quan đến kỳ thi.,0,0,False
